CS458 Natural Language Processing
BCS-9A
Assignment 2
Taimoor Khan
•
Oct 18, 2020
100 points
Due Oct 26, 2020
Perform text classification using the attached dataset. Try different classifiers and report their accuracy.

Movies_TV.txt
Text
Class comments

Your work
Turned in

knn_classification.ipynb
Colaboratory

Movies_TV.csv
Excel
Private comments


Domain	Label	Rating	Review
Movies_TV	NEG	2	enemy of the state be boring , and have a uninresting story and dialoge . some good acting by Regina King . but the plot be over to long and there be no fun just watch the film , and plus the thrill be worthless , it be like go to a store and on to home . Thats what this movie show . and I have to admit it there be some good thing I like , like when Will Smith run off try to get to he home to tell he wife that someone be after he , that be a good scene . but overall the movie be not worth see , but that be my opinion . c - \*\*
Movies_TV	NEG	2	I will not lie . it be be over six year since I have actually see this movie . back then I do not like it . I still do not . but now , I have realize something : there be symbolism in this movie . you see , Peter Pan represent a certain someone . who , you ask ? come closer . now , we all know that the character Tinkerbell be model after , -lrb- or at least draw to the likeness of -rrb- , Marilyn Monroe . coincidence ? I do not think so . can you guess who Pan be yet ? oh-kay , Peter Pan stand for John F. Kennedy - you know , irresponsible , young , womanize , etc. . do not believe I ? look at Pan ! he be dress in green , the color of the Irish . he associate with not one , not two , but three woman in this film . sound like JFK to I . wendy stand as the voice of reason , Jackie . Captain Hook , of course , be Lee Harvey Oswald , and that alligator ... or crocodile ... thing , be Jack Ruby . Odd , be not it ?  Well , I hope you have enjoy this little essay ... or review ... or ... ah , whatever .
Movies_TV	POS	4	if you be read this , I do not need to tell you about Russell T. Davies 's reboot of the venerable doctor who franchise , David Tennant 's step into Christopher Eccelston 's shoe and fill they `` fan-tast-ic ! `` ly , or how supporting cast Billie Piper , Noel Clarke and Camille Coduri really come into they own because you have probably already see it on SciFi Channel -lrb- before it become `` See-Fee '' ! -rrb- or BBC America . otoh , what make the boxed set worth buying be the raft of special feature that be never show in the US , or show in \* highly \* truncate form : episode of the doctor who CONFIDENTIAL behind the scene show , one for each episode ; cast and crew commentary for each episode , some video Picture-in-Picture ; and a video diary do of the season by star tennant with the sometimes aid of he then-girlfriend , actress Sophia Miles -lrb- `` The Girl in the Fireplace '' -rrb- .
Movies_TV	POS	5	I be not sure I would like David Tennant , but he style be completely different than Chris Eccleston , and he grow in to the role quite well .
Movies_TV	NEU	3	the great thing about this video be there be three dancer in which you can easily see they movement , the set be lively while also be simple enough to not be overwhelming . Hemalayaa be also a advocate of have fun and seem to be less rigid in the structuring of she routine . on the down side , sometimes I feel like it be just three girlfriend get together to dance around , esp as hemalayaa herself seem like a free spirit . there be alot of `` head shake '' as part of the exercise\/routing -lrb- throw back the head and shake it vigorously -rrb- and a squat and roll out of the spine ... these be bearable ... but they keep pop up for the first 5-7 minute after the warmup which seem to break the dance\/exercise portion and really break the mood with some kind of child like `` let 's call this dancing '' . then one of the first series of footwork have you turn in a awkward circle in which the step be not clearly break down , nor could you really watch and perform the step , as you be to be move in the circle . this may be okay for experienced dancer or video exercise , but for novice , it would seem to be quite frustrating . overall , there be too many circle movement -lrb- turn around with the intire body -rrb- ... but this be one of the better bollywood exercise dvd 's I have see .
Movies_TV	POS	5	this movie be so real , it will keep you look behind you back for a week . in this day in age of technology , this movie will become a reality in a matter of time .
Movies_TV	POS	5	as everyone have already say in they review , David Tennant do indeed step in Christopher Ecclestones considerably talent shoe with ease . he grace he doctor with the same amount of energy and charisma as the previous doctor , but also manage to imbue he with a more natural and engaging warmth . the second series may lack some of the excitement and ` new-ness ' of the first , but thanks largely to it be great cast it manage to steer ahead strongly , drive by broader plot and lead to a darker end . but , for I , it be Rose who be the real star of both . Billie Piper , ex-teen singing pop sensation , just bristle Rose to real life . I can see this every girl on any street in London or Cardiff , full of idea , energy , wit , fear , strength , joy ... just watch she play off the doctor ' eccentricity be a reminder to how we would all like to behave if ever confront with a Time Lord ! the last two episode be up with the best , and unlike a previous reviewer , I disagree with the final episode be a let down . my judgement ? no thirty four year old man should ever cry in front of he miss and kid because of a tv show , but the fact that I do be all the proof I need !
Movies_TV	POS	5	when I get this , I think it would be a fun , easy workout for my lazy day . boy be I surprise when my leg start burn halfway through the dvd . the best workout be the one where you can have fun , and not feel as though you be work out wait for a repetition to be finish . she encourage you to move at you own pace throughout and for once you do not feel like you be slack if you modify it a bit . I thoroughly enjoy this and will add it to my routine . it be the perfect workout to lift you mood , especially on lazy day . highly recommend it .
Movies_TV	POS	5	excellent series ; complex , quick plotline and excellent dialog . I particularly enjoy the additional feature with background info on the actor and the actual production of the show . I first ` discover ' Doctor who in the Tom Baker day , while visit Perth , Australia , and have be a fan since . I do have to say the ` modern ' Doctor who be much more intellectual and much less chauvinistic , and of course the special effect be better . I be glad , however , that the Daleks retain they pepper-pot appearance . I hope they keep the show go through 10 more doctor !
Movies_TV	POS	4	I have already see the other two Cinderella movie , so I think , why not watch this one too ? I must say that I be pleasantly suprised . this movie be very sweet and it show more of the prince 's side of the story , unlike the other two movie . I really love it . it be a great movie for younger girl . older girl could get into it too , see as I be 16 and enjoy it . all in all , a lovely movie .
Movies_TV	POS	5	do they ever make a part 2 to this movie ? I see 1 and 3 but no 2 ... what go on ?
Movies_TV	POS	5	First off , there be a minor audio issue with the surround background music overwhelming the dialogue of the actor . I have not find a resolution and just turn up my volume . subtitles\/closed caption will help with this minor issue . also image be very crisp and special effect be wonderful on this dvd set compare to sci-fus channel airing . also , there be no shorted episode like those air on tv . now , it be onto my review of this dvd set . this be a brilliant continuation where Christopher Eccelston leave off in the first new series of Doctor who . David Tennant -lrb- regenerate 10th doctor -rrb- and Billie Piper -lrb- companion - Rose Tyler from the last doctor -rrb- start we with the Christmas invasion with the colorful cast of Jackie and Mickey who be Rose 's mum and pal\/pseudo-boyfriend . Tennant quickly develop he similar style in loud and snide comment as eccelston do last year . however , he add another side of humor which be more physical and serious than Eccelston . Piper be pretty much herself and the mother character be more hilarious and kookier than Rose 's sweet nature . Insecure Mickey be a great contrast to Piper 's commanding tone . episode fit nicely one after the other . favorite episode be list below and Doctor who Confidential be on the last disc for behind the scene . \* rise of Cybermen -lrb- Part 1 -rrb- \* age of steel -lrb- part 2 -rrb- \* New Earth \* Girl in Fireplace \* impossible planet -lrb- part 1 -rrb- \* Satan 's pit -lrb- part 2 -rrb- here be a listing of we favorite heros\/villans . \* cybermen - still the same but interesting storyline \* Daleks - slightly upgrade with levitation power -lrb- I prefer the rolling droid -rrb- \* k-9 - robot dog from the Tom Baker year \* Sarah Jane - from the 3rd & 4th doctor series \* Jackie - Rose 's mom and also cougar who prey on young lad and the Doctor \* mickey\/ricky - Rose 's buddy and parallel universe `` Mickey '' also , here be the last couple of episode before actor Tennant regenerate to actor Matt Smith . I have the review for these episode already available on dvd . \* the New Doctor -lrb- with David Morrissey -rrb- - Christmas special 2008 \* planet of the dead -lrb- with Michele Ryan -rrb- - Easter special 2009 the soon to be release Tennant final episdo be as follow : \* the Waters of Mars - air November 2009 \* end of Time -lrb- Parts 1 and 2 -rrb- - will air December 2009 and January 2010
Movies_TV	POS	4	this serei be a treat . Rose be perfetc and the new doctor be just as interesting as the previous doctor Louis
Movies_TV	POS	4	Will Smith be Robert Clayton Dean , a young yet prominent labor attorney in the dc area who suddenly find he well order life go to hell . unknown to he , he be accidentally receive a video disc implicate the Deputy Director of Operations of the NSA -lrb- Jon Voight -rrb- in the suspicious death of a influential senator - a disc pass to he moment before its owner 's untimely death . unable to locate the disc , the wicked dep decide to take Dean 's life to piece - find much in Smith 's character that be not as order as it appear . in fact , Dean 's adventure as a labor lawyer frequently have he run up against organize crime boss , include one play by Tom Sizemore . worse , to get he information , Smith rely on a shadowy figure name Brill , a man he be never meet . instead , he maintain contact with Brill through a former lover -lrb- Lisa Bonet -rrb- . draw a line between Smith and Bonet use they ban account , the NSA wreck he personal life and implicate he in embezzlement . on the run from the super-secret NSA with its satellite and its surveillance gear , with nowhere to turn , Dean 's only hope be to find the mysterious Brill himself , learn the secret drive he pursuer and hope to fund some way to put he life back together .  not a lot in `` enemy '' make sense , but it be fast and , with Will Smith , often funny . he be get a flip sense of humor that save the movie that otherwise have few surprise . Gene Hackman enter the scene as the shadowy Brill running , and he never stop . Brill be essentially paranoia incarnate - though by the time we have meet he , we know enough about the Government 's surveillance method to empathize with he fear . Jon Voight play the latest in a long line of heavy -lrb- he be the evil lawyer in `` Rainmaker '' -rrb- but otherwise never connect as a villain . but the real star of the flick be the direction , which be fast and coherent at the same time . otherwise , the flick pay lip service to Hollywood 's need for a apparent message -lrb- beware nig government 's intrusion on you privacy -rrb- without make the movie deep enough for you to care . Watch it for the fun .
Movies_TV	POS	5	the second Seasons be great , the music , the story , and well the Girl in the Fireplace be a masterpiece !!! I hope the 10th doctor never regenerate !!!
Movies_TV	POS	4	I too be very surprised at this straight to dvd movie . I watch it with my 3 year old this weekend and find it to be funny and cute . I definitely recommend it , especially for little one who love Cinderella .
Movies_TV	NEU	3	director : Tony Scott cast : Will Smith , Gene Hackman , Jon Voight , Regina King , Loren Dean , Jake Busey , Barry Pepper . run time : 127 minute . rate r for violence and language .  another producer Jerry Bruckheimer\/director Tony Scott thrill ride without substance , this time pit family man lawyer Robert Clayton Dean -lrb- play by Will Smith in a ho-hum performance -rrb- against a technologically-driven government . not know that the trivial meeting with a old friend would cause he so much trouble , Dean get suck into a conspiracy case involve a rogue National Security Agent -lrb- Jon Voight -rrb- who kill a United States congressman because he accidentally receive a video tape with footage of the murder . with incredible surveillance technique and technology , Voight be able to track all of the lawyer 's move and keep tab on he .  we hero 's life be turn upside down until he meet up with a stealthy former NSA active name Brill -lrb- play very well by Gene Hackman -rrb- . with the assistance of Brill , Dean attack the government head on and must learn the truth in order to save he life . Director Tony Scott brilliantly use the camera to portray he view , jolt the character through a series of incredible chase scene , rip-roaring explosion , and intense firearm combat , but ultimately `` enemy of the state '' focus solely on the unbridled advance in special effect ability that it keep the audience from understand the story and get involve with the character . Smith be only adequate in he first major `` dramatic '' role , while Hackman and Voight pick up some of the slack in they devilishly effective part . a must-see if you be into big explosion and dynamite cinematography , but one to leave on the shelf if over-acting and a mediocre script be a annoyance .
Movies_TV	POS	5	one of the thing that be hard for a show to do , even a long-running series , be to match the success and strong story element of the first season the second time around . but the cast and crew of `` Doctor who '' not only match the success of season one , but actually surpass it with the second season . David Tennant , take the TARDIS key from Christopher Eccleston , prove to be a fantastic successor to the role of the Doctor , bring a lot of humor and gravitas to the role , and be support by the equally-fantastic Billie Piper as he companion , Rose Tyler . couple with a brilliant support cast , strong storytelling , fantastic visual and strong music , this be a terrific season of the show . highlight include : `` the Christmas Invasion , '' David Tennant 's premiere episode ; `` Tooth and Claw , '' which bring werewolf into a story of alien after Queen Victoria ; `` School Reunion , '' which reunite the doctor with Sarah Jane Smith and k-9 ; `` the Girl in the Fireplace , '' a brilliant episode from the always-brilliant Steven Moffat ; the two-part `` the impossible Planet\/The Satan pit , '' which pit the doctor against the Devil himself ; and the two-part finale , `` Army of Ghosts\/Doomsday , '' which feature both a head-to-head battle between the Daleks and the Cybermen , and the exit of Rose as a companion in a final scene that will leave nobody with a dry eye . the dvd release of series two be also improve over the first . the picture quality be fantastic , and the audio , a problem with the previous set , be much improve . extra be fantastic , from David Tennant 's video diary to cut-down version of `` Doctor who Confidential . '' longtime fan and newcomer to the show will definitely want this set in they collection ! allons-y ! Program\/DVD Grade : a +
Movies_TV	NEG	1	I would buy this , if the dvd price be not so insane . $ 20 - $ 30 for a season be fine . I like support creative artist whose work I enjoy . that be say , I watch this elsewhere on the internet . it be good .
Movies_TV	NEU	3	I do not remember ever be that take with Peter Pan when I be younger , it certainly be never my favorite , but as I have mention in previous review , I be collect the special edition , and wait -lrb- im -rrb- patiently for the one that have already be out , and go again . convenient how they be release these special edition around every 6 year or so , just in time for the next generation to start clamour at they parent that they want they ! while I find Peter Pan funnier than I remember -lrb- Mr Darling , Smee , Captain Hook & the croc -rrb- , I could not help but see Bob Hoskins as Smee and Dustin Hoffman as Captain Hook - yes I have see Hook way too many time ! apart from that , I notice that , although not as much as the earlier Disney movie , there be still some reference that I really do not think should be in a kid movie - the fairy dust for instance ? that make they fly ? how many of you try to jump off you garden fence or you garage when you be young ? and also the fact they show John smoking what look like very suspicious substance . but this certainly would not be show in today 's very politically correct Disney . there be also some terrible stereotype about american Indians . I find Wendy 's voice as irritating as usual , but I definitely find it familiar , so I be probably still remember it from when I be young . Peter be never a favorite character of mine and like Walt Disney himself , I find it to be really cold and quite unlikable . this be a must for collector , with the usual special feature , although if you find yourself bore during the game , that be because they be aim at kid . not we old one . unless you fancy try the 9x9 suduko - I could not do it . the next special edition be the jungle book , out in the autumn , not particularly another favorite of mine , but I be still look forward to it .
Movies_TV	NEG	1	we buy this video with a condition rating of NEW ! the video be certainly not new , the case be dirty - the movie be all static , and it skip . my son -lrb- who be autistic -rrb- have a extreme melt down because he be suppose to be able to watch PETER PAN , and we could not get through the movie ! I will be return this and will not purchase from this seller again . shame on the seller for the misleading condition !!!
Movies_TV	NEU	3	I be not a proponent of Disney milk the cash cow of they classic animated film by produce far inferior sequel . about half of the film in the Disney animated library now have direct to dvd sequel . however , the quality of the recent rush of Disney animated sequel have be much better than the sequel predecessor -lrb- BAMBI II for instance be not too bad of a direct dvd release -rrb- . maybe the folk at the Giant Mouse House have receive enough complaint that they be try to make decent sequel . CINDERELLA III : A TWIST in TIME be nowhere near as good a film as the original Disney CINDERELLA . however , the film be not too bad of a movie , especially for a direct-to-dvd release . it look more like a wonderful world of Disney episode or a Friday evening special instead of a Saturday morning hack-job cartoon that many direct-to-dvd cartoon look like . the movie begin on the one-year marriage anniversary of Cinderella and Prince Charming . Cinderella 's Fairy Godmother seem to become more absent-minded and throw she magic wand into the air and loose it . it land in front of a hidden Anastasia who have just learn that Cinderella have magic in help she win Charming 's hand . she rush back to tell she mother the news . the evil stepmother use the wand to turn Fairy Godmother into a statue , turn back time to prevent Cinderella from marry charming , and cast a spell on charming so he fall in love with Anastasia . Cinderella and she mouse friend , Gus and Jaq , know something be out of place , but they do not know what . but they do not give up and be determine to break charming out of he spell . after all , in a fairy tale love conquer all . CINDERELLA III be clearly a movie make for young child , especially very young girl . very young boy -lrb- three or younger -rrb- might enjoy the movie , but the film 's overall message and focus be on young girl . other than a few visual allusion here and there to classic swashbuckling movie , there really be not anything to interest parent , either . the style of animation be a interesting merge between the classic-style of the original CINDERELLA and more colorful and contemporary cartoon . with that say , the movie could have be much worst . when I first hear about the plot of the film , I think it be fitting because Disney often act like the evil stepmother try to turn back time to make more money and change and legacy and history of some of they most cherish creation . however , in watch CINDERELLA III I be begin to wonder if Disney be more like Anastasia and be learn the error of its way . in watch the movie , be sure to watch through the credit as various painting answer some question the story leave open and halfway through there be a coda to the film 's event . the dvd do not include many special feature . there be a music video with Hayden Panettiere -lrb- who voice Kairi in the Kingdom Hearts game and play Claire Bennet on hero -rrb- , a behind the scene look at the Disney Cruise show , `` twice charm '' which inspire CINDERELLA III , Bibbidi-Bobbidi Game , and a interactive activity call Cinderella 's ballroom that only work use a dvd-rom on a computer .
Movies_TV	POS	4	I do love Tinkerbell , one of my all time favorite Disney character & the music be great . a few thing could have be change , but not much .
Movies_TV	POS	5	it ` s great !!! I love that it have the spanish track also for muy baby . Great buy !!!
Movies_TV	POS	5	cute little twist to the original Cinderella . most of the time sequel be not my favorite . but disney do a good job on this one . I say thumb up !
Movies_TV	POS	5	this movie be exciting to watch - full of action and have a fantastically intreging storyline . I want to know however , why Seth Green 's name be not in the credit !! -lrb- also feature in such show as Buffy -lrb- oz -rrb- and can not hardly wait -lrb- kenny -rrb- -rrb- he have a larger part than the character mr Wu for example , and he make it on the credit . this be my only dissapointment in the movie - so it be obviously a fab flik : -rrb-
Movies_TV	POS	5	my 2 year old grandson love this classic movie . he like to pretend he be fly with he toy plane . the movie be deliver quick and completely protect . I will buy from this seller soon . aac
Movies_TV	POS	5	Disney , Disney , Disney how do you change a classic ? upgrade to dvd .
Movies_TV	POS	4	i read the review before i buy this movie , and i buy it because most people seem to like it . my daughter and i just watch it , and i have to say that i be impressed . i actually like it better than the original ! i like Cinderella 's more active role . that be my biggest complaint about the original -- i never do care for the whole wishy-washy , boo-hoo attitude she have ! i would recommend this movie to anyone who like disney princess movie .
Movies_TV	POS	5	David Tennant , will for I , always be my favorite doctor . Rose be quickly forget as a companion . she tend to be a bit flighty . but David really cement what it mean to be the doctor : a quick wit and always there to save the day . he long to save all creature across the galaxy . simply the best !
Movies_TV	POS	5	I love this movie as child , love the ride at Disneyland , and love this special dvd set !
Movies_TV	POS	5	about a year or so ago my nephew suggest I might want to check out the new Dr. who series . even though I have live in England year ago I have never get `` into '' the show . I love english mystery , sci-fus and humor so I decide to `` give it a go '' . to my surprise , I really like it . the writing be so original and the story be `` way out there '' . David Tenent be really good in the role of Dr. who . he can be very serious one minute , then very funny the next . Billy Piper be great too ! I be sorry to see she depart . I have watch the second series over and over again . David 's video diary be a really interesting insight to how a show be put together and all the hard work the actor put in to make this show great . I highly recommend this as a `` must have '' purchase ...
Movies_TV	POS	4	my five-year-old have watch Cinderella and Cinderella II countless time , so she be very excite to see the third in the series . have only watch it once so far , but I think she really like it . she do say that she think there be moment where it be very `` dramatic , '' refer to the scene where Lady Tremaine call on the power of the universe to change history . I be not sure if dramatic be a good thing or a bad thing , but I be sure she will watch it again .
Movies_TV	NEU	3	this movie have a great premise and some very good moment . Will Smith and the rest of the cast be okay . overall though , it be not very impressive , and it will be quickly forget . this be a great movie to rent some night , but I do not recommend buy it .
Movies_TV	NEU	3	my 4 year old daughter love anything princess and therefore love this movie with its `` happily ever after '' end . as a adult , I be disappoint . since I have never see the second movie I do not know if the sister Anastasia change , but she be different in this movie . how do someone so spoil and mean become the character she be in iii ? also , the king be no longer interested in grandchild , but true love , which be not part of he character in the original . I guess what I be say be that the character do not seem to line up with the original character . I will say there be some redeeming thing about this movie ; namely that Cinderella be more independent and resourceful here .
Movies_TV	NEG	2	movie get here in great time . good shape and play great ! great deal !
Movies_TV	POS	5	enemy of the state be a great movie . its a excellent action film with a strong message on the `` double-edged sword '' of technology . on one hand , life be make simplier and more convenient by technology . on the other , it allow government -lrb- in particular -rrb- the ability to monitor each individual within the state and will continually challenge a individual 's right to privacy . a worthy film that will not disappointment .
Movies_TV	POS	4	my 2 1\/2 year old do not get too scared or think that it be creepy ... which be good . but , she always get bored half way through . : -lrb- I guess she be to young for it .  my husband and I think it be neat though . great family movie if you have a little older child because the parent will like it too : -rrb-
Movies_TV	POS	4	this dvd be top . it start with Anastasia steal the magic wand . then Cinderella 's wicked stepmother turn back time , and make the slipper fit on Anastasia 's foot . some funny part include Anastasia step all over the Prince 's foot , and lack poise and grace during a dance much to the Prince 's dismay , and Anastasia and Drusilla 's food fight destroy the entire dining room and cover it with cake , and pastry . the King 's expression when he open the door , and out fly a cake , and he ask if he be in the right room . the prince 's expression when Anastasia step on he foot numerous time , and Anastasia 's apology . another funny part be when the Stepmother & Drusilla be change into a couple of toad at the end . some of the scarier moment include when the wicked stepmother break Cinderella 's glass slipper , and when Cinderella be banish on a ship out of they life forever . another scary part be when the wicked stepmother put Cinderella in a pumpkin `` coach '' wagon and tell Lucifer to make sure Cinderella do not come back alive . Cinderella 3 will not disappoint . it be worth the 6 dollar that I spend to rent it .
Movies_TV	POS	5	this be one of my favorite when I be grow up . I ; m excite that it be now out on dvd .
Movies_TV	NEG	1	I recently buy Disney 's Peter Pan dvd for my 3 year old son . I be a very protective parent and do not allow my kid to watch just any kind of programming . be Disney the reputed company that it be and give that be have a `` g '' rating , I blindly let my son watch this movie with its spanish audio track , since my kid speak spanish only . to my surprise , it be full of racial slur against native Americans and violent language content . it seem that Disney have edit the English audio track to make it `` politically correct '' and eliminate offensive content , while not do so in the spanish track . for example , in the scene where the kid and Peter Pan be talk about have happy thought , little boy John say -lrb- in the English track -rrb- : `` I think I 'll be a indian brave '' , while in the spanish track it say : `` yo muchos indios voy a matar '' -lrb- `` I be go to kill lot of Indians '' -rrb- . this be just a example of a array of violent language content include in this dvd . I lose count of how many time the word `` kill '' come up in this movie . no surprise that now my 3 year old be go around say `` I be go to kill you '' to anyone . this be a outrage and I wonder why English speak kid deserve to be protect from this kind of language , and spanish speaking kid do not . this be a terrible , terrible mistake . Disney be a company for kid everywhere in the world , no matter what language they speak . I be now weary of buy additional Disney movie for my son . as a mother I be deeply surprised , disappointed , and sadden by this fact .
Movies_TV	POS	5	my three year old grandson talk about Peter Pan , and I go to my local dvd source and be tell it be no longer in print . I be pleased tobe able to give this to he , and watch it with he . I see it when it first come out and enjoy it as a boy . it be great to see a little one see it now .
Movies_TV	POS	5	try to fill my Disney library with dvd 's and of course , Amazon have they . very happy to have it .
Movies_TV	POS	5	this be one of my favorite when I be young . I could remember after I come home that night wait for Peter Pan to come and take I away to Neverland . it be another must have movie if you into nostalgia .
Movies_TV	POS	5	I buy this dvd for a friend 's daughter -lrb- about 5 -rrb- , who have never see it . she be charm ! I be tell she watch it over and over , sometimes two or three time a day . she do not know it be a movie from the 1950s , and frankly , I do not think she care . the thing be , this be a classic which stand up to the test of time . thank you , Amazon.com and Walt Disney Studios !
Movies_TV	POS	5	this movie be absolutely one of the best Disney movie ! I love this movie so much I use to tell everyone my name be wendy ! a few year back when this come to dvd I be not aware of it and I do not buy it until a few year later on Amazon.com in the new and used part ! when you order through that you have to be careful with whom you choose to deal with because when I purchase the movie I receive a bootleg version . it look normal until I open the case and it be a fake because of the material use on the dvd . I compair the dvd with my other Disney dvd 's and it be not the same . I spend over $ 25 on a copy ! that really make I mad . if you order from here be aware ! there be so many liar out there ! I learn my lesson to ask question if you have any and if they seem suspicious do not buy from they . thanks I hope I help you ! but truly this be a wonderful movie for all age !
Movies_TV	NEG	1	there be not on
Movies_TV	POS	5	although I enjoy `` enemy of the state '' when it first come out on dvd , I then take it at face value as mere entertainment . I find this taut thriller even more suspenseful the second time around ; moreover , it have assume a chilling plausibility -- probably because of now be able to ` tour ' various world capital at street level on Google map . Will Smith and Gene Hackman -lrb- and he cat -rrb- have a marvelous on-camera chemistry ; and whereas some of the ` hot political thriller ' that I have see of late fall flat or run out of steam at the end , `` enemy of the state '' pack a wallop that really deliver !
Movies_TV	POS	5	one of the best Disney film ever consider both story & song , and for its remarkable animation , Peter Pan be the story of the boy who would not grow up . Neverland be a invite place for the darling child , until they meet the wicked Captain Hook . can Peter save they from he sinister plan ? can he save himself ? a great film !
Movies_TV	POS	4	when I first hear about Cinderella 3 , I be really excited and could not wait to see it . the title be pretty catchy . the first week when I find out , I coud not talk or think about anything else . I would watch the preview over and over , and soon , I would know it by heart . my aunt just buy it for we last night . I think it be really funny . when I watch it , I be laugh so hard I have tear in my eye . Gus and Jack be really funny to . do not miss this film !!!!
Movies_TV	NEG	2	I love Disney movie and I remember loving this movie as a kid , but OMG the portrayal of native Americans be so blatantly racist as to be simply stunning . there be no way I would let my kid watch this film . it be fine for adult I suppose who can approach the racism of this film with some sort of historical eye\/filter . do not think it be racist ? go onto a reservation tomorrow and yell `` redskin '' in a crowded room . yeah , I do not think so .
Movies_TV	NEG	1	I love this movie but unfortunately when i begin watch the dvd , it begin to freeze on certain scene then skip minute of a scene . Super disappoint that i pay for a damage dvd . the description say `` like new '' but it be obviously damage and the cover and disk look overuse with some previous owner 's name write all over it .
Movies_TV	NEU	3	I be really disappoint with this release , I be expect a nice widescreen edition of this movie with great sound , but it be just a mediocre standard dvd .
Movies_TV	POS	5	David Tennant pick up where Christopher Eccleston leave off without miss a beat . as the 10th and newest doctor , Tennant 's quirky Doc be refreshing and just funny enough to pull it off . he chemistry with Billie Piper , who play Rose Tyler , be fantastic as the drama intensify to a sad finale between the doctor and Rose . I recommend season 2 as a great buy and the additional extra on the dvd 's be fun to watch with all the behind scene , personal video diary and commentary . enjoy !
Movies_TV	POS	4	the animation be as good as any classic Disney . but the story be outdate . this movie be quite tell of its time . some folk who say they love it scare I about as much as the old soviet propaganda I grow up with . it be also `` wholesome '' back then . Bobby Driscoll as Peter Pan perfectly capture the tragedy of a child who have to mature and take on adult responsibility too soon . when in the middle of the final fight with Hook Wendy implore he to fly and he respond that he can not because he `` give he word '' it be just heartbreaking . those of we who grow up in the 70 be just lucky to have that burden lift and have normal prolonged childhood . and while Peter Pan be too adult , Hook in this version seem rather childish . like the most spoil kid you can imagine , Hook be a mean-spirited bully who constantly whine and throw tantrum . the worst punishment for he be the public humiliation of be call a codfish . he even escape the crocodile in the end . Smee be the ultimate Disney sidekick , a stutter moron who can not get anything right , a subservient character bully by all the other pirate . wendy be so proper for the 50s and so out of date today . a girl who know she place and just talk too much to avoid think about that . she can deal with other girl and play a mother to the boy but she know it be a man 's world . what make the red man red ? that be how it be , and that view be definitely outdate as well , but you can not cut a essential part of the movie out . the crocodile be the most wonderful thing in this movie , most adorable . and he swim to a great song too . overall , this be a classic movie worth see , but I would hesitate to show it to small kid . I think pg would be a more appropriate rating , indicate that significant portion of it would require explain to today 's child . but of course it would not occur to the Disney corporation to do a decent thing . or perhaps they really want we to go back to the 50 . some bonus feature on the dvd be quite interesting , feature Disney archive . the read-along story `` Peter 's Playful Prank '' be just horrible . there be so many thing wrong with that story ... just do not go there .
Movies_TV	POS	5	enemy of the state be a great move . that be why i give it a 5 star rating . a murder be catch on tape and now a man be run for he life . Will Smith , play a lawyer that be catch in the wrong place at the wrong time . while shop one day for a Christmas present for he wife , he run into a old acquaintance from college . now the tape that the government want be in he hand . he find himself be hunt for something that he do not know he even have . he be help out by a mysterious man name Brill -lrb- play by Gene Hackman -rrb- and now have even the odds against he . this movie have stack of action and load of high intense scene . if you love these type of movie check this one out as soon as possible .
Movies_TV	POS	4	I be extremely pleased with this . very fast delivery and nothing dent or scratch that i didnt already know of . also the delivery be fantastic ! it have only be a week after order it when it come in the mail and when it do i be thrill !
Movies_TV	NEU	3	despite a good cast , a strong premise , and a great start , I be ultimately let down by this movie . it seem like it get `` hollywooded '' just enough , watered-down a bit too much to be a great thriller . that be a shame , it could have be .
Movies_TV	POS	4	I love Peter Pan , and I be introduce to the story through this movie . I be glad to get this dvd , and the restoration be excellent . the special feature be grand ... except one . Disney , can you please quit re-arrange good old song for your new artist ? seriously , `` second star to the Right '' be a magical song , but the new video by t-squad be anything but . -lrb- by the way , same thing with the Ashley Tisdale performance of `` kiss the Girl '' on the new dvd of the little mermaid . -rrb- because of this , I drop a star out of 5 . the picture be pristine and clear all throughout . the color be just perfect . the sound be crisp and clear . Disney , you do a wonderful job restore this picture . if you love this movie , buy this dvd . oh , and there be a trailer for a suppose re-release of `` return to Neverland '' on dvd . when 's that go to happen , though ?
Movies_TV	NEG	2	i have always love Peter Pan , and I grow up watch this cartoon along with the Mary Martin version . but after see the new live action Peter Pan , I have to conclude that this version be dull as dirt !!! First of all , wendy and she brother be not supopose to be tell story ABOUT Peter Pan ... the kid be not suppose to have hear of he !! so when Peter fly in , it be very anti-climatic . wendy be just like , oh , Peter , you be here finally . Yawn !! I think wendy have a lovely voice but the character be just annoying !! all she do be babble on while she sew Peters shadow . there be zero connection between Peter and Wendy , and that be a big problem . Tinkerbelle be the best character in this , but , she do not even get she famous death scene where everyone clap to bring she to life !! hook use a bomb to hurt Peter instead of poisoning he `` medicine '' be really lame . worst of all , with the exception of `` you can fly ! ' all of the song be lame . do I even have to mention the idiotic `` Red Man '' song ?? eww . plus , the lose boy be not suppose to be moron with retard voice . very dissapointing . this bland version be ok for little kid , but , to get the REAL story of Peter Pan , watch the new movie !!!
Movies_TV	POS	5	what can I say ? it be Peter Pan and my kid love it as much as we do when we be kid . must have .
